_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166d97),Corse,2020-09-12T00:00:00.000Z,29,19,8,58,10,6,84
ObjectId(63e4bbd04e31320bce166d98),Corse,2020-09-13T00:00:00.000Z,28,20,10,59,10,4,90
ObjectId(63e4bbd04e31320bce166d99),Corse,2020-09-14T00:00:00.000Z,27,19,8,58,10,7,170
ObjectId(63e4bbd04e31320bce166d9a),Corse,2020-09-15T00:00:00.000Z,27,18,10,63,9.875,33,23
ObjectId(63e4bbd04e31320bce166d9b),Corse,2020-09-16T00:00:00.000Z,26,20,10,68,10,23,58
ObjectId(63e4bbd04e31320bce166d9c),Corse,2020-09-17T00:00:00.000Z,27,19,10,59,10,8,165
ObjectId(63e4bbd04e31320bce166d9d),Corse,2020-09-18T00:00:00.000Z,28,22,9,62,10,17,111
ObjectId(63e4bbd04e31320bce166d9e),Corse,2020-09-19T00:00:00.000Z,26,17,12,82,9.125,73,185
ObjectId(63e4bbd04e31320bce166d9f),Corse,2020-09-20T00:00:00.000Z,25,16,11,78,9.625,75,1
ObjectId(63e4bbd04e31320bce166da0),Corse,2020-09-21T00:00:00.000Z,24,16,9,81,9,70,88
ObjectId(63e4bbd04e31320bce166da1),Corse,2020-09-22T00:00:00.000Z,24,17,10,81,9.5,69,13
ObjectId(63e4bbd04e31320bce166da2),Corse,2020-09-23T00:00:00.000Z,26,19,12,78,9.5,41,117
ObjectId(63e4bbd04e31320bce166da3),Corse,2020-09-24T00:00:00.000Z,20,16,41,87,7.125,74,86
ObjectId(63e4bbd04e31320bce166da4),Corse,2020-09-25T00:00:00.000Z,17,14,46,72,8.375,79,112
ObjectId(63e4bbd04e31320bce166da5),Corse,2020-09-26T00:00:00.000Z,16,12,18,86,8.25,79,165
ObjectId(63e4bbd04e31320bce166da6),Corse,2020-09-27T00:00:00.000Z,17,14,16,83,9.625,73,169
